Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C103,C0201_L,15.825mm,28.825mm,15.825mm,28.825mm,15.825mm,28.55mm,T,90,100P
C102,C0402_L,16.625mm,29.6mm,16.625mm,29.6mm,16.625mm,29.15mm,T,90,1U
U1,QFN56_M040_7.0X7.0_EP_SL,12.425mm,24.275mm,12.425mm,24.275mm,15.86mm,21.675mm,T,180,EFR32FG25B222F1920IM56
CM2,C0201_L,12.6mm,29.775mm,12.6mm,29.775mm,12.6mm,29.5mm,T,90,4.3pF
CM1,C0201_L,13.625mm,29mm,13.625mm,29mm,13.625mm,28.725mm,T,90,11pF
LR1,COIL_0201_L,14.45mm,29.3mm,14.45mm,29.3mm,14.45mm,29mm,T,90,20nH
LM2,COIL_0201_L,13.2mm,29.775mm,13.2mm,29.775mm,13.2mm,29.475mm,T,90,6.2nH
X1,KDS_DSX211SH_2016,18.1751mm,27.3999mm,18.175mm,27.4mm,17.6251mm,28.0999mm,T,270,39.000 MHz
C119,C0402_L,14.325mm,17.375mm,14.325mm,17.375mm,14.325mm,17.825mm,T,270,1U
C110,C0201_L,10.275mm,20.025mm,10.275mm,20.025mm,10mm,20.025mm,T,360,100N
